lemma,normalized_lemma,part_of_speech,sense_position,definition,tags,polish_translations,cefr,wordnet_synsets,frequency_rank
pound,pound,noun,3,A unit of mass in various measurement systems.,,,cefr_j:B1,,984
pound,pound,noun,4,A unit of force in various measurement systems,abbreviation|alt-of|ellipsis,,cefr_j:B1,,984
pound,pound,noun,5,A unit of force in various measurement systems,,,cefr_j:B1,,984
pound,pound,noun,6,A unit of force in various measurement systems,abbreviation|alt-of|ellipsis|informal|non-scientific,,cefr_j:B1,,984
pound,pound,noun,7,A base unit of currency in various currency systems.,,funt,cefr_j:B1,06822614-n,984
pound,pound,noun,8,A base unit of currency in various currency systems.,informal,,cefr_j:B1,06822614-n,984
pound,pound,noun,9,The symbol #.,US,,cefr_j:B1,06822614-n,984
pound,pound,noun,10,A place for the detention of stray or wandering animals.,,,cefr_j:B1,,984
pound,pound,noun,11,The people who work for the pound.,metonymically,,cefr_j:B1,,984
pound,pound,noun,12,"A place for the detention of automobiles that have been illegally parked, abandoned, etc.",UK,,cefr_j:B1,,984
pound,pound,noun,13,A section of a canal between two adjacent locks.,,,cefr_j:B1,,984
pound,pound,noun,14,"A kind of fishing net, having a large enclosure with a narrow entrance into which fish are directed by wings spreading outward.",,,cefr_j:B1,,984
pound,pound,noun,15,A division inside a fishing stage where cod is cured in salt brine.,Newfoundland,,cefr_j:B1,,984
pound,pound,noun,16,A hard blow.,,,cefr_j:B1,,984
pound,pound,verb,0,To wager a pound on.,UK|regional|slang|transitive,,cefr_j:B2,01304843-v,984
pound,pound,verb,1,"To confine in, or as in, a pound; to impound.",,,cefr_j:B2,,984
pound,pound,verb,2,"To strike hard, usually repeatedly.",transitive,walić|walnąć|bachnąć,cefr_j:B2,,984
pound,pound,verb,3,To crush to pieces; to pulverize.,transitive,,cefr_j:B2,00332324-v,984
pound,pound,verb,4,To eat or drink very quickly.,slang|transitive,,cefr_j:B2,,984
pound,pound,verb,5,To pitch consistently to a certain location.,slang|transitive,,cefr_j:B2,,984
pound,pound,verb,6,To beat strongly or throb.,intransitive,walić,cefr_j:B2,,984
pound,pound,verb,7,"To penetrate sexually, with vigour.",slang|transitive|vulgar,walić,cefr_j:B2,,984
pound,pound,verb,8,To advance heavily with measured steps.,,,cefr_j:B2,01929501-v,984
pound,pound,verb,9,"To make a jarring noise, as when running.",,,cefr_j:B2,,984
GDP,gdp,noun,0,Initialism of gross domestic product.,abbreviation|alt-of|initialism|uncountable|usually,PKB,,,
GDP,gdp,noun,1,"Initialism of guanosine diphosphate, a nucleotide.",abbreviation|alt-of|initialism|uncountable|usually,,,,
rain cats and dogs,rain cats and dogs,verb,0,To rain very heavily.,idiomatic|impersonal,lać jak z cebra,,02763991-v,
pond,pond,noun,0,"An inland body of standing water, either natural or man-made, that is smaller than a lake.",,staw|sadzawka|jeziorko|rybnik,cefr_j:B1,09420266-n,
pond,pond,noun,1,An inland body of standing water of any size that is fed by springs rather than by a river.,,,cefr_j:B1,,
pond,pond,noun,2,Chiefly in across the pond: the Atlantic Ocean.,informal,,cefr_j:B1,,
pond,pond,verb,0,To block the flow of water so that it can escape only through evaporation or seepage; to dam.,transitive,,,,
pond,pond,verb,1,"To make into a pond; to collect, as water, in a pond by damming.",transitive,,,,
pond,pond,verb,2,To form a pond; to pool.,intransitive,,,,
pond,pond,verb,3,To ponder.,obsolete|transitive,,,,
pies,pies,noun,0,plural of pie,form-of|plural,,,,
pies,pies,verb,0,third-person singular simple present indicative of pie,form-of|indicative|present|singular|third-person,,,,
pies,pies,verb,1,third-person singular simple present indicative of pi,form-of|indicative|present|singular|third-person,,,,
nonsense,nonsense,noun,0,"Letters or words, in writing or speech, that have no meaning or pattern or seem to have no meaning.",uncountable|usually,nonsens|niedorzeczność|absurd|bezsens|bzdura|androny|bajdura,cefr_j:B1,,
nonsense,nonsense,noun,1,An untrue statement.,uncountable|usually,,cefr_j:B1,,
nonsense,nonsense,noun,2,"That which is silly, illogical and lacks any meaning, reason or value; that which does not make sense.",uncountable|usually,,cefr_j:B1,,
nonsense,nonsense,noun,3,Something foolish.,uncountable|usually,,cefr_j:B1,,
nonsense,nonsense,noun,4,"A type of poetry that contains strange or surreal ideas, as, for example, that written by Edward Lear.",uncountable|usually,,cefr_j:B1,,
nonsense,nonsense,noun,5,"A damaged DNA sequence whose products are not biologically active, that is, that does nothing.",uncountable|usually,,cefr_j:B1,,
nonsense,nonsense,verb,0,To make nonsense of;,,,,,
nonsense,nonsense,verb,1,To attempt to dismiss as nonsense; to ignore or belittle the significance of something; to render unimportant or puny.,,,,,
nonsense,nonsense,verb,2,"To joke around, to waste time",intransitive,,,,
nonsense,nonsense,adjective,0,Nonsensical.,,,,,
nonsense,nonsense,adjective,1,"Resulting from the substitution of a nucleotide in a sense codon, causing it to become a stop codon (not coding for an amino-acid).",,,,,
nonsense,nonsense,interjection,0,An emphatic rejection of something one has just heard and does not believe or agree with.,,,,,
pie,pie,noun,0,"A type of pastry that consists of an outer crust and a filling. (Savory pies are more popular in the UK and sweet pies are more popular in the US, so ""pie"" without qualification has different connotations in these dialects.)",countable|uncountable,ciasto|placek,cefr_j:B1,,
pie,pie,noun,1,"Any of various other, non-pastry dishes that maintain the general concept of a shell with a filling.",countable|uncountable,,cefr_j:B1,,
pie,pie,noun,2,A pizza.,Northeastern|US|countable|uncountable,,cefr_j:B1,,
pie,pie,noun,3,"A paper plate covered in cream, shaving foam or custard that is thrown or rubbed in someone’s face for comical purposes, to raise money for charity, or as a form of political protest; a custard pie; a cream pie.",countable|uncountable,,cefr_j:B1,,
pie,pie,noun,4,"The whole of a wealth or resource, to be divided in parts.",countable|figuratively|uncountable,,cefr_j:B1,,
pie,pie,noun,5,An especially badly bowled ball.,countable|uncountable,,cefr_j:B1,,
pie,pie,noun,6,A pie chart.,countable|uncountable,,cefr_j:B1,,
pie,pie,noun,7,Something very easy; a piece of cake.,countable|informal|uncountable,,cefr_j:B1,,
pie,pie,noun,8,The vulva.,countable|slang|uncountable,,cefr_j:B1,,
pie,pie,noun,9,"A kilogram of drugs, especially cocaine.",countable|slang|uncountable,,cefr_j:B1,,
pie,pie,noun,10,Magpie.,obsolete,,cefr_j:B1,,
pie,pie,noun,11,A former low-denomination coin of northern India.,historical,,cefr_j:B1,,
pie,pie,noun,12,"Ellipsis of pie-dog (“an Indian breed, a stray dog in Indian contexts”).",abbreviation|alt-of|ellipsis,,cefr_j:B1,,
pie,pie,noun,13,"A traditional Spanish unit of length, equivalent to about 27.9 cm.",historical,,cefr_j:B1,,
