lemma,pos,level,source
component,noun,B2,cefr_j
composer,noun,A2,cefr_j
composition,noun,B1,cefr_j
compound,noun,B1,cefr_j
comprehension,noun,B2,cefr_j
comprehensive,adjective,B2,cefr_j
compression,noun,B2,cefr_j
compromise,noun,B1,cefr_j
compromise,verb,B2,cefr_j
compulsory,adjective,B2,cefr_j
compute,verb,B2,cefr_j
concede,verb,B2,cefr_j
conceit,noun,B2,cefr_j
conceivable,adjective,B2,cefr_j
conceive,verb,B2,cefr_j
concentrate,verb,A2,cefr_j
concentration,noun,B1,cefr_j
concept,noun,B1,cefr_j
conception,noun,B2,cefr_j
concerned,adjective,B1,cefr_j
concerning,preposition,B2,cefr_j
concert,noun,A1,cefr_j
concession,noun,B2,cefr_j
conclude,verb,B1,cefr_j
conclusion,noun,B1,cefr_j
conduct,noun,B1,cefr_j
conduct,verb,B2,cefr_j
cone,noun,B2,cefr_j
conference,noun,B2,cefr_j
conferencing,noun,B2,cefr_j
confess,verb,B2,cefr_j
confession,noun,B2,cefr_j
confidently,adverb,B2,cefr_j
confine,verb,B2,cefr_j
confirm,verb,B1,cefr_j
confirmation,noun,B1,cefr_j
conflict,noun,B1,cefr_j
confront,verb,B2,cefr_j
confuse,verb,A2,cefr_j
confused,adjective,A2,cefr_j
confusing,adjective,B1,cefr_j
confusion,noun,B1,cefr_j
congratulate,verb,B1,cefr_j
connection/connexion,noun,B1,cefr_j
conquer,verb,B1,cefr_j
conquest,noun,B2,cefr_j
conscience,noun,B2,cefr_j
consequence,noun,A2,cefr_j
consequently,adverb,B1,cefr_j
conservation,noun,B1,cefr_j
conservative,adjective,B1,cefr_j
consider,verb,A2,cefr_j
considerable,adjective,B1,cefr_j
considerably,adverb,B2,cefr_j
consideration,noun,B1,cefr_j
considering,conjunction,B2,cefr_j
considering,preposition,B2,cefr_j
consist,verb,A2,cefr_j
consistent,adjective,B2,cefr_j
consolation,noun,B2,cefr_j
console,verb,B2,cefr_j
constantly,adverb,B1,cefr_j
constitute,verb,B1,cefr_j
construct,verb,B1,cefr_j
construction,noun,B1,cefr_j
consult,verb,B2,cefr_j
consultant,noun,B2,cefr_j
consumer,noun,B1,cefr_j
contact,noun,A2,cefr_j
contact,verb,A2,cefr_j
container,noun,A2,cefr_j
contaminate,verb,B2,cefr_j
contempt,noun,B2,cefr_j
contest,noun,A1,cefr_j
continual,adjective,B1,cefr_j
continually,adverb,B1,cefr_j
continue,verb,A2,cefr_j
continuously,adverb,B1,cefr_j
contract,noun,B2,cefr_j
contradict,verb,B2,cefr_j
contradiction,noun,B2,cefr_j
contradictory,adjective,B2,cefr_j
contrary,adjective,B1,cefr_j
contrast,noun,A2,cefr_j
contribution,noun,B1,cefr_j
controversial,adjective,B1,cefr_j
controversy,noun,B2,cefr_j
convenience,noun,A2,cefr_j
convenient,adjective,A2,cefr_j
conveniently,adverb,B2,cefr_j
converse,noun,B2,cefr_j
conversely,adverb,B2,cefr_j
conversion,noun,B2,cefr_j
convert,verb,B2,cefr_j
convey,verb,B1,cefr_j
convince,verb,B1,cefr_j
convinced,adjective,B2,cefr_j
cooker,noun,A2,cefr_j
cookie,noun,A1,cefr_j
cooking,noun,A2,cefr_j
cooler,noun,A2,cefr_j
cooperate,verb,B2,cefr_j
cooperation,noun,B2,cefr_j
cooperative,adjective,B2,cefr_j
cope,verb,B2,cefr_j
core,noun,B2,cefr_j
corn,noun,A1,cefr_j
corner,noun,A1,cefr_j
cornerstone,noun,B2,cefr_j
corona,noun,B2,cefr_j
correction,noun,B1,cefr_j
correctly,adverb,A2,cefr_j
correctness,noun,B2,cefr_j
correspond,verb,B2,cefr_j
correspondence,noun,B2,cefr_j
correspondent,noun,B2,cefr_j
corresponding,adjective,B2,cefr_j
corridor,noun,B2,cefr_j
corruption,noun,B2,cefr_j
costly,adjective,B2,cefr_j
costume,noun,B2,cefr_j
cottage,noun,B2,cefr_j
could,modal auxiliary,A1,cefr_j
council,noun,B1,cefr_j
counseling/counselling,noun,B1,cefr_j
counter,noun,B2,cefr_j
counter,verb,B1,cefr_j
countless,adjective,B1,cefr_j
countryman,noun,B2,cefr_j
countryside,noun,A2,cefr_j
countrywide,adjective,B2,cefr_j
couple,noun,A2,cefr_j
courageous,adjective,B1,cefr_j
courgette,noun,B1,cefr_j
court,noun,A2,cefr_j
courtesy,noun,B2,cefr_j
coward,noun,B2,cefr_j
cowardly,adjective,B2,cefr_j
coziness/cosiness,noun,B2,cefr_j
cozy/cosy,adjective,B2,cefr_j
crab,noun,B2,cefr_j
craftsman,noun,B2,cefr_j
crater,noun,B2,cefr_j
crawl,verb,B2,cefr_j
crease,noun,B2,cefr_j
creation,noun,B2,cefr_j
creative,adjective,A2,cefr_j
creatively,adverb,B2,cefr_j
creativity,noun,A2,cefr_j
creator,noun,B1,cefr_j
creature,noun,A2,cefr_j
credit card,noun,A1,cefr_j
creek,noun,B2,cefr_j
creepy,adjective,B2,cefr_j
cripple,noun,B2,cefr_j
crisp,noun,A2,cefr_j
critic,noun,B1,cefr_j
critical,adjective,B1,cefr_j
critically,adverb,B2,cefr_j
criticism,noun,B2,cefr_j
criticize/criticise,verb,A2,cefr_j
crop,noun,B1,cefr_j
crossly,adverb,B2,cefr_j
crossroads,noun,B1,cefr_j
crowded,adjective,A2,cefr_j
crucial,adjective,B2,cefr_j
cruelly,adverb,B2,cefr_j
cruelty,noun,B2,cefr_j
crystallize/crystallise,verb,B2,cefr_j
cubism,noun,B2,cefr_j
cucumber,noun,B1,cefr_j
cuff,noun,B2,cefr_j
