entry_key,sense_position,definition
craft|noun,5,"A device, a means; a magical device, spell or enchantment ."
craft|noun,6,"Learning of the schools, scholarship; a branch of learning or knowledge, a science, especially one of the ‘seven liberal arts’ of the medieval universities ."
craft|noun,7,"Skill, skilfulness, art, especially the skill needed for a particular profession ."
craft|noun,8,"A branch of skilled work or trade, especially one requiring manual dexterity or artistic skill, but sometimes applied equally to any business, calling or profession; the skilled practice of a practica"
craft|noun,9,"A trade or profession as embodied in its practitioners collectively; the members of a trade or handicraft as a body; an association of these; a trade's union, guild, or ‘company’ ."
craft|noun,14,"Implements used in catching fish, such as net, line, or hook. Modern use primarily in whaling, as in harpoons, hand-lances, etc. ."
craft|verb,1,"To construct, develop something (like a skilled craftsman)."
craft|verb,2,"To combine multiple items to form a new item, such as armour or medicine."
substantive|adjective,0,Of the essence or essential element of a thing.
substantive|adjective,1,Of the essence or essential element of a thing.
substantive|adjective,2,Having substance; enduring; solid; firm; substantial.
substantive|adjective,3,Applying to essential legal principles and rules of right.
substantive|adjective,4,Not needing the use of a mordant to be made fast to that which is being dyed.
substantive|adjective,5,Depending on itself; independent.
substantive|adjective,6,Of or pertaining to a substantive.
substantive|adjective,7,"Actually and legally held, as distinct from an acting, temporary or honorary rank or appointment."
substantive|noun,1,"Part of a text that carries the meaning, such as words and their ordering."
patronage|noun,2,The act or state of being a customer of some business.
patronage|noun,5,"Guardianship, as of a saint; tutelary care."
patronage|noun,7,The right of presentation to church or ecclesiastical benefice; advowson.
patronage|noun,8,Patronising speech or behaviour.
deal|noun,0,"A division, a portion, a share, a part, a piece."
deal|noun,1,An indefinite quantity or amount; a lot (now usually qualified by great or good).
deal|noun,2,An act of dealing or sharing out.
deal|noun,3,The distribution of cards to players; a player's turn for this.
deal|noun,5,A transaction offered which is financially beneficial; a bargain.
deal|noun,7,"A situation, occasion, or event."
deal|noun,8,"A thing, an unspecified or unidentified object."
deal|noun,9,"A personality trait, especially a negative one, and the underlying cause of it."
deal|verb,4,"deliver damage, a blow, strike or cut. To inflict."
deal|verb,5,To pitch.
deal|verb,6,To have dealings or business.
deal|verb,7,"To conduct oneself, to behave."
deal|verb,9,To trade professionally (followed by in).
