entry_key,sense_position,definition,lemma
craft|noun,14,"Implements used in catching fish, such as net, line, or hook. Modern use primarily in whaling, as in harpoons, hand-lances, etc. .",craft
craft|verb,0,To make by hand and with much skill.,craft
craft|verb,1,"To construct, develop something (like a skilled craftsman).",craft
craft|verb,2,"To combine multiple items to form a new item, such as armour or medicine.",craft
adjectival|adjective,1,"Of or relating to procedure, especially to technicalities thereof.",adjectival
adjectival|noun,0,An adjectival phrase or clause.,adjectival
substantive|adjective,1,Of the essence or essential element of a thing.,substantive
substantive|adjective,6,Of or pertaining to a substantive.,substantive
substantive|noun,0,"Ellipsis of noun substantive or substantive noun, a noun or a group of words (a noun phrase) that act as a noun (in a sentence).",substantive
substantive|noun,1,"Part of a text that carries the meaning, such as words and their ordering.",substantive
substantive|verb,0,"To make a word belonging to another part of speech into a substantive (that is, a noun) or use it as a noun.",substantive
patronage|noun,1,Customers collectively; clientele; business.,patronage
